# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.totalPageDisposalsUs,1735140582819000000,1735140642586000000,0
FilePageCache.pageLoads,1735140582819000000,1735140642586000000,0
MappedFileStorage.storages,1735140582819000000,1735140642586000000,10
StreamlinedBlobStorage.recordsRelocated,1735140582819000000,1735140642586000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1735140582819000000,1735140642586000000,0
DirectByteBufferAllocator.reclaimed,1735140582819000000,1735140642586000000,0
StorageLockContext.competingThreads.max,1735140582819000000,1735140642586000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1735140582819000000,1735140642586000000,0
FilePageCacheLockFree.totalPagesReadMs,1735140582819000000,1735140642586000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1735140582819000000,1735140642586000000,0
FilePageCache.maxRegisteredFiles,1735140582819000000,1735140642586000000,259
MappedFileStorage.totalBytesMapped,1735140582819000000,1735140642586000000,177471488
DirectByteBufferAllocator.hits,1735140582819000000,1735140642586000000,0
FilePageCache.pageHits,1735140582819000000,1735140642586000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1735140582819000000,1735140642586000000,0
FilePageCacheLockFree.heapBytesInUse,1735140582819000000,1735140642586000000,0
DirectByteBufferAllocator.misses,1735140582819000000,1735140642586000000,0
FilePageCacheLockFree.totalPagesReclaimed,1735140582819000000,1735140642586000000,0
FilePageCacheLockFree.totalPagesHandedOver,1735140582819000000,1735140642586000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1735140582819000000,1735140642586000000,0
FilePageCacheLockFree.totalPagesAllocated,1735140582819000000,1735140642586000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1735140582819000000,1735140642586000000,0
FilePageCacheLockFree.totalBytesRequested,1735140582819000000,1735140642586000000,0
StreamlinedBlobStorage.recordsAllocated,1735140582819000000,1735140642586000000,0
FilePageCacheLockFree.totalPagesRequested,1735140582819000000,1735140642586000000,0
StorageLockContext.competingThreads.90P,1735140582819000000,1735140642586000000,0
FilePageCacheLockFree.nativeBytesInUse,1735140582819000000,1735140642586000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1735140582819000000,1735140642586000000,0
StorageLockContext.competingThreads.avg,1735140582819000000,1735140642586000000,0.0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1735140582819000000,1735140642586000000,0
FilePageCacheLockFree.totalPagesWriteMs,1735140582819000000,1735140642586000000,0
